Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
1/1/2008 12:00,15.712,15.724,15.753,15.71,15.626,10.034,9.0061,8.2491,8.0859,8.0112,7.9336,7.8963,16.698,375.86,8.33328
1/1/2008 12:00,14.711,14.722,14.737,14.672,14.617,14.404,8.9687,8.2855,8.1061,7.9951,7.9227,7.8987,15.471,931.61,8.0441872
1/1/2008 12:00,13.991,13.996,14.036,13.995,14.012,13.97,8.9539,8.2482,8.0808,8.0227,7.9702,7.938,12.95,40.696,4.954958
1/1/2008 12:00,13.625,13.632,13.654,13.567,13.551,13.017,9.4186,8.3902,8.1187,8.0371,7.9815,7.9393,13.078,76.978,0.52895752
1/1/2008 12:00,14.141,13.749,13.633,13.535,13.513,13.239,9.4261,8.3302,8.0985,8.02,7.9641,7.9263,16.045,594.76,1.78609968
1/1/2008 12:00,16.111,15.877,14.759,13.805,13.576,12.849,9.2644,8.3464,8.1135,8.0237,7.9557,7.9306,16.477,760.23,2.39355464
1/1/2008 12:00,17.223,16.574,14.224,13.745,13.527,12.987,9.4909,8.332,8.0876,8.0077,7.9437,7.9143,19.649,732.72,1.07000344
1/1/2008 12:00,16.868,16.802,16.311,13.844,13.569,12.447,9.3608,8.4461,8.1373,8.0458,7.9803,7.935,14.662,108.84,1.85430912
1/1/2008 12:00,16.393,16.193,15.342,13.879,13.602,12.765,9.3161,8.3081,8.1105,8.0265,7.9563,7.925,15.084,403.32,1.66274656
1/1/2008 12:00,17.133,16.986,15.81,14.08,13.633,12.347,9.5933,8.3731,8.109,8.0159,7.9646,7.9246,15.542,334.99,1.8238052
1/1/2008 12:00,17.247,16.985,14.791,14.116,13.709,13.051,10.495,8.8472,8.247,8.0427,7.9729,7.9322,14.687,766.54,2.7414948
1/1/2008 12:00,18.446,17.712,17.106,14.192,13.629,12.58,9.9485,8.3771,8.1325,8.0116,7.953,7.932,18.389,514.48,1.55050448
1/1/2008 12:00,18.218,17.955,17.118,14.382,13.775,12.538,10.162,8.4956,8.1921,8.0711,7.9964,7.9616,16.14,605.26,1.03080616
1/1/2008 12:00,18.191,18.102,17.265,14.641,13.742,12.66,9.7505,8.4258,8.1532,8.0559,7.9929,7.9631,16.495,560.14,0.97854312
1/1/2008 12:00,19.159,18.545,17.961,14.673,13.712,11.76,9.8118,8.5099,8.1527,8.0498,7.9924,7.9568,19.363,812.26,1.36460032
