Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
,11.11,11.12,11.146,11.117,11.123,11.112,11.126,11.099,11.051,10.702,9.5513,9.1904,9.9396,117.84,1.5624
,11.294,11.208,11.168,11.122,11.11,11.089,11.112,11.079,11.024,10.858,10.237,9.1984,11.409,44.6,0.02529
,10.669,10.677,10.709,10.678,10.692,10.668,10.646,10.546,10.5,10.435,10.293,9.4923,10.526,90.43,3.9382
,8.7985,8.8086,8.8344,8.8018,8.8173,8.8005,8.824,8.7926,8.772,8.74,8.6898,8.6389,6.0363,48.106,0.0051
,8.4701,8.4886,8.4989,8.455,8.4714,8.4448,8.4781,8.4556,8.4314,8.4356,8.3765,8.3657,10.461,146.33,3.4362
,8.8985,8.9039,8.9272,8.8703,8.9042,8.8744,8.8586,8.8777,8.8631,8.8624,8.7704,8.6468,12.318,25.346,6.5252
,6.9536,6.9892,7.0236,6.9846,6.9972,6.9727,6.9914,6.9617,6.9378,6.904,6.8542,6.8339,-0.12692,76.357,0.27705
,6.6828,6.6936,6.6647,6.6072,6.6252,6.5701,6.5721,6.5652,6.4772,6.441,6.368,6.3343,7.708,120.39,1.325
,5.6901,5.6979,5.7351,5.6857,5.7132,5.6907,5.7163,5.7109,5.6974,5.6935,5.6282,5.5973,7.0655,70.046,2.9021
,3.6562,3.7245,3.8899,3.8977,3.9514,3.9631,4.0143,4.0269,4.01,3.9777,3.9375,3.9471,0.36683,19.399,0.48356
,3.5723,3.7549,3.8838,3.7811,3.8091,3.8085,3.8069,3.7796,3.7993,3.7889,3.7676,3.8126,4.0795,94.307,4.1043
,3.1904,3.3867,3.4919,3.5025,3.5374,3.5718,3.6633,3.7268,3.7592,3.6389,3.7062,3.8236,0.2567,25.994,2.8856
,2.815,3.6446,3.697,3.5808,3.5772,3.7016,3.7146,3.6883,3.6559,3.6956,3.5395,4.0288,3.4754,85.363,3.086
,3.014,3.421,3.5333,3.4994,3.5625,3.5684,3.576,3.6175,3.646,3.7622,3.6834,3.8994,4.7252,70.278,0.56401
,3.5181,3.6919,3.7619,3.7741,3.7932,3.7644,3.7825,3.7982,3.7927,3.849,3.8294,3.9838,2.6683,84.187,0.1323
